BRCA1,BRCA2,TP53,ERBB2,ESR1,PGR,MYC,PIK3CA,PTEN,EGFR,AKT1,CCND1,CDH1,RB1,CDKN2A,MDM2,KRAS,BRAF,ATM,CHEK2,MKI67,BCL2,BAX,VEGFA,label
8.9852,8.0036,10.2459,12.6899,11.9821,12.6749,9.264,9.672,11.2651,7.9485,11.4866,13.0984,14.0555,10.7604,7.0929,11.1742,10.9689,7.8175,10.4053,6.9005,11.0529,11.1464,9.2168,10.0144,Cancer
8.5061,6.7889,9.6565,13.7469,12.5538,9.139,9.8925,8.0555,10.1289,6.4721,11.9198,16.6534,10.8033,10.0538,7.9756,12.3363,10.961,6.5885,8.4762,7.3003,9.9811,8.4169,8.4993,10.6729,Cancer
7.9332,6.4925,10.3923,13.043,13.5936,4.9058,12.2857,9.0091,11.2217,8.0976,11.8431,14.5634,13.0334,10.7611,7.4972,10.4597,10.735,7.6259,9.0655,7.437,10.026,11.319,8.5286,11.5565,Cancer
9.701,7.4909,10.4373,12.7965,11.7561,11.1512,11.1194,8.9307,10.7527,5.757,12.147,15.554,14.1291,8.958,7.7038,13.8668,10.2617,7.3578,9.7755,7.2145,11.3353,11.1779,9.0358,12.5475,Cancer
7.7816,6.6206,10.4727,12.2796,11.5012,12.3181,11.7627,10.0116,11.5523,10.8807,11.6096,12.5123,12.6608,10.4203,5.6288,11.162,9.8132,7.8438,10.6822,6.4993,8.6528,11.1879,8.5171,10.57,Normal
7.4622,7.3317,11.0898,12.1039,13.1122,12.2079,10.5975,9.066,10.1354,7.4288,11.246,11.4377,12.6866,9.9897,7.2277,10.1463,9.5745,6.8043,10.0186,8.5455,11.1706,9.5711,9.3016,11.073,Cancer
6.9783,3.7444,10.8923,13.2875,10.6546,7.9229,13.4449,6.7971,10.0341,8.8573,11.8026,13.3072,13.467,8.2512,7.7767,10.2593,8.6207,5.3339,8.2461,8.1789,9.4653,10.7371,10.6111,9.5455,Cancer
9.2476,7.2908,10.9312,12.5388,13.3236,13.0968,11.0351,8.5626,11.1023,6.0469,11.8864,13.5802,8.7927,10.0297,6.2222,10.8208,10.2089,8.1009,9.467,7.8029,11.5182,10.7416,9.3841,10.678,Cancer
9.9344,7.4927,11.0173,14.7511,14.4372,4.1678,11.1529,8.5731,10.5591,4.3651,13.1693,13.5802,12.7908,9.2374,9.362,15.7782,8.5281,8.3519,9.189,7.1234,11.3745,11.0561,9.4825,11.0017,Cancer
7.2623,6.1972,10.7871,13.2064,14.6909,8.1834,9.1574,8.6662,11.4211,6.0224,13.2618,12.4357,14.9574,11.3247,5.3914,11.7956,10.7856,7.0957,9.4009,7.1814,8.5786,10.3805,8.8163,9.4995,Cancer
4.7789,7.0008,8.8998,11.5362,9.9263,4.51,9.7376,14.7721,11.0595,9.1717,13.1083,8.4877,11.1115,8.7926,10.9431,9.5596,10.4963,7.262,9.3382,8.7687,10.5432,7.876,10.3097,11.4917,Cancer
8.8683,7.2934,10.7862,13.0552,7.619,4.1066,12.6331,9.6127,10.7158,10.5539,10.9468,13.7596,12.1683,10.1224,5.5969,9.996,10.8843,8.62,9.5784,8.0586,11.0151,10.3142,9.3022,11.5357,Cancer
8.038,5.9038,9.7036,12.3697,13.0765,7.7734,11.1037,9.2169,11.1671,7.3614,12.6624,14.3419,15.2122,10.5032,6.1661,11.2043,9.888,7.8449,9.4187,6.4572,9.4222,12.1464,8.4819,11.7648,Cancer
4.6349,8.2309,11.7717,12.1662,4.6872,2.0738,10.8572,9.2197,10.1285,8.2441,12.1006,9.0959,13.6944,8.1116,10.7006,10.8159,10.4456,7.3955,9.1803,8.6034,11.4358,7.8241,9.6649,12.9749,Cancer
7.4473,6.1835,11.0553,12.5467,11.1337,12.2276,11.8176,8.4952,10.7031,7.9786,12.235,12.3411,9.6248,9.8992,6.4468,10.8973,9.7679,6.7429,10.0046,6.8665,9.5639,9.9534,10.5095,10.908,Cancer
7.8325,5.5788,11.368,13.1602,15.1543,6.9541,11.6185,9.074,10.4689,5.8514,11.7187,13.052,14.634,9.9704,4.6686,12.2281,10.3785,8.272,9.7417,7.8246,9.2917,10.7458,9.509,11.3596,Cancer
7.7362,5.5236,10.6357,10.6656,14.9974,11.8205,11.1371,8.3995,11.1767,5.7784,12.4654,14.1425,13.9056,10.1805,7.0697,11.015,9.9357,6.674,9.344,7.399,9.2365,11.7992,9.207,10.0268,Cancer
8.728,7.3986,10.2971,13.3928,14.7585,12.2742,10.3242,9.2038,11.4114,7.7188,12.1897,14.9581,12.9842,10.6726,6.007,11.0589,10.8266,8.1108,9.68,7.6788,9.5277,12.1461,8.6534,11.5472,Cancer
7.8443,8.187,11.1237,11.753,13.1675,10.5604,11.2446,8.8362,11.4185,6.8132,12.3462,13.9941,13.9831,11.088,8.6626,14.7554,10.5585,8.0377,9.0585,8.4733,11.8415,11.5973,9.5337,10.3839,Cancer
7.9339,6.8243,10.3723,12.4122,13.0488,10.1631,10.5241,9.6919,11.2853,10.3701,11.6185,11.3565,13.4546,10.2987,5.5555,11.0381,9.7954,7.7936,10.8374,7.1654,7.5134,11.5936,8.181,10.0753,Normal
6.782,5.407,11.2566,12.7039,10.93,8.5435,11.2142,8.7955,11.1241,9.4939,12.1114,12.6621,12.451,10.0889,6.9075,12.2215,9.579,6.7247,10.0769,6.6168,8.7499,10.2214,9.3983,9.7713,Cancer
8.5285,7.3191,10.0592,13.0059,14.3335,12.1536,11.9282,9.2674,11.3613,9.7776,11.9358,13.7827,9.8889,10.4092,5.9744,11.439,10.7508,8.0111,10.8625,7.0793,10.1481,12.634,8.1845,12.095,Cancer
9.1894,8.0529,10.5376,12.5679,14.5777,10.3943,9.1104,9.3862,11.1832,7.3938,11.8121,13.45,8.4528,10.3434,6.2536,11.3184,10.3015,6.8195,10.1638,7.8291,10.8634,10.9217,8.8291,9.2466,Cancer
7.5864,8.695,11.5343,10.914,12.8478,12.7271,11.583,8.8578,10.8742,8.0497,12.1766,8.8959,12.2596,8.8472,10.0713,11.1368,10.123,6.9172,9.744,8.735,12.3699,12.0206,9.1143,10.6707,Cancer
9.5002,8.2579,10.5218,13.233,13.9325,7.2433,11.1673,8.5038,10.5486,5.3579,12.1954,14.4338,14.9191,9.6942,7.2459,12.3097,10.0756,8.5869,9.4302,6.964,10.8235,11.644,8.9804,9.4937,Cancer
7.5875,7.2859,10.8349,12.7499,9.024,4.9004,10.0255,8.5682,10.7706,5.3134,13.0408,12.5093,13.5575,10.4118,7.5113,10.1934,10.809,6.7796,9.498,7.9374,10.2628,7.5531,9.8432,11.6754,Cancer
8.0457,6.0281,10.5776,12.036,13.2889,12.9962,12.1817,8.9912,11.192,4.3196,12.3265,14.2281,12.8087,10.6261,7.4687,11.4413,10.3801,7.8171,10.405,7.2254,8.6075,12.5087,8.9053,12.0118,Cancer
9.9081,7.3872,10.1789,13.2916,13.2509,7.9328,10.4975,8.7754,9.9358,5.455,11.7409,14.9461,14.239,7.6139,7.6847,11.0188,9.8635,7.8503,8.2453,8.4159,10.8939,10.5217,9.2756,10.7725,Cancer
9.4059,7.7271,10.1382,12.4602,14.2027,13.4072,10.6069,9.3681,11.3331,7.5859,11.8913,14.148,13.7168,10.5592,6.9921,13.418,11.1766,7.9565,9.6839,7.9565,9.8174,10.2602,8.9942,9.6931,Cancer
9.1607,7.8583,10.4048,12.4667,4.7104,5.5811,11.54,8.6493,10.3456,8.5663,12.2168,12.9562,12.5567,10.119,4.9984,10.4734,10.7229,7.8938,9.2129,9.6253,10.3543,7.8219,10.0231,10.4296,Cancer
8.4169,7.5625,10.5449,13.2424,13.6376,9.0637,10.0715,9.0798,10.9974,8.8036,11.9583,13.3152,9.9007,10.3406,7.1567,10.6183,10.1625,7.2369,10.2386,6.6403,10.3696,10.3415,9.4532,10.9894,Cancer
9.8874,7.7012,10.7839,13.3038,15.0346,9.0151,10.7251,8.9222,10.214,3.6563,10.8656,13.8719,13.768,10.1875,6.8876,15.6194,10.1634,7.306,10.3633,8.0886,11.6089,11.2787,8.9316,10.2785,Cancer
9.9078,7.9206,11.4787,12.8938,11.8356,10.2566,9.9519,9.3381,11.7392,7.4855,12.7507,12.7639,14.5141,11.5187,4.5544,11.5038,10.2377,8.0232,10.3939,8.3462,12.5029,10.1393,9.0174,11.0422,Cancer
8.4509,4.8383,9.1761,13.5323,12.9793,11.446,10.1192,7.5555,9.3548,4.7382,11.8603,13.0742,7.5167,8.4398,9.0893,10.0183,9.3683,7.33,7.753,8.2144,10.2782,10.5219,11.0552,11.1653,Cancer
7.9751,7.2715,11.8576,11.5665,6.048,4.1119,11.7686,7.2057,10.967,7.037,11.6967,11.9061,12.8767,9.8526,5.3829,10.5744,10.6072,7.0777,9.6459,8.7676,10.4725,10.0064,10.9382,10.5329,Cancer
9.3402,8.2537,10.8467,11.8887,11.5332,12.9527,10.8852,9.5818,11.5332,7.4425,11.7556,12.0083,12.4182,10.7875,5.0039,11.0207,10.6103,7.6464,10.9246,7.8849,11.1111,10.279,8.7284,10.7516,Cancer
